Model,Missing,Feature,Imbalance,Params,Accuracy,Precision,Recall,F1,FNR
SVM,drop,none,none,"{'C': 1, 'class_weight': None, 'kernel': 'linear', 'max_iter': 1000, 'probability': True}",0.751,0.0,0.0,0.0,1.0
SVM,drop,none,undersample,"{'C': 1, 'class_weight': None, 'kernel': 'linear', 'max_iter': 1000, 'probability': True}",0.751,0.0,0.0,0.0,1.0
SVM,drop,none,smote,"{'C': 1, 'class_weight': None, 'kernel': 'linear', 'max_iter': 1000, 'probability': True}",0.751,0.0,0.0,0.0,1.0
SVM,knn,none,none,"{'C': 1, 'class_weight': None, 'kernel': 'linear', 'max_iter': 1000, 'probability': True}",0.751,0.0,0.0,0.0,1.0
SVM,knn,none,class_weight,"{'C': 1, 'class_weight': 'balanced', 'kernel': 'linear', 'max_iter': 1000, 'probability': True}",0.751,0.0,0.0,0.0,1.0
SVM,knn,none,undersample,"{'C': 1, 'class_weight': None, 'kernel': 'linear', 'max_iter': 1000, 'probability': True}",0.751,0.0,0.0,0.0,1.0
SVM,knn,none,smote,"{'C': 1, 'class_weight': None, 'kernel': 'linear', 'max_iter': 1000, 'probability': True}",0.751,0.0,0.0,0.0,1.0
SVM,knn,tfidf,none,"{'C': 1, 'class_weight': None, 'kernel': 'linear', 'max_iter': 1000, 'probability': True}",0.751,0.0,0.0,0.0,1.0
SVM,knn,tfidf,class_weight,"{'C': 1, 'class_weight': 'balanced', 'kernel': 'linear', 'max_iter': 1000, 'probability': True}",0.751,0.0,0.0,0.0,1.0
SVM,knn,tfidf,undersample,"{'C': 1, 'class_weight': None, 'kernel': 'linear', 'max_iter': 1000, 'probability': True}",0.751,0.0,0.0,0.0,1.0
SVM,knn,tfidf,smote,"{'C': 1, 'class_weight': None, 'kernel': 'linear', 'max_iter': 1000, 'probability': True}",0.751,0.0,0.0,0.0,1.0
SVM,model,none,none,"{'C': 1, 'class_weight': None, 'kernel': 'linear', 'max_iter': 1000, 'probability': True}",0.751,0.0,0.0,0.0,1.0
SVM,model,none,class_weight,"{'C': 1, 'class_weight': 'balanced', 'kernel': 'linear', 'max_iter': 1000, 'probability': True}",0.751,0.0,0.0,0.0,1.0
SVM,model,none,undersample,"{'C': 1, 'class_weight': None, 'kernel': 'linear', 'max_iter': 1000, 'probability': True}",0.751,0.0,0.0,0.0,1.0
SVM,model,none,smote,"{'C': 1, 'class_weight': None, 'kernel': 'linear', 'max_iter': 1000, 'probability': True}",0.751,0.0,0.0,0.0,1.0
SVM,model,tfidf,none,"{'C': 1, 'class_weight': None, 'kernel': 'linear', 'max_iter': 1000, 'probability': True}",0.751,0.0,0.0,0.0,1.0
SVM,model,tfidf,class_weight,"{'C': 1, 'class_weight': 'balanced', 'kernel': 'linear', 'max_iter': 1000, 'probability': True}",0.751,0.0,0.0,0.0,1.0
SVM,model,tfidf,undersample,"{'C': 1, 'class_weight': None, 'kernel': 'linear', 'max_iter': 1000, 'probability': True}",0.751,0.0,0.0,0.0,1.0
SVM,model,tfidf,smote,"{'C': 1, 'class_weight': None, 'kernel': 'linear', 'max_iter': 1000, 'probability': True}",0.751,0.0,0.0,0.0,1.0
